wavelength;intensity
1.980785065e+002;-1.509673428e-003
1.982810516e+002;-1.687631011e-003
1.984835968e+002;1.302056247e-003
1.986861725e+002;-2.862151014e-003
1.988887634e+002;-1.367307384e-003
1.990913696e+002;-2.435053000e-003
1.992939758e+002;-4.775194975e-004
1.994966125e+002;-1.901180134e-003
1.996992645e+002;-1.011392218e-003
1.999019318e+002;-1.153758261e-003
2.001046143e+002;-8.601282752e-005
2.003073120e+002;1.275362592e-004
2.005100250e+002;-9.046177147e-004
2.007127686e+002;1.230873284e-003
2.009155121e+002;2.369801747e-003
2.011182709e+002;-7.978431531e-004
2.013210449e+002;8.749581175e-004
2.015238495e+002;1.871520537e-003
2.017266541e+002;2.076171768e-005
2.019294739e+002;-2.007954754e-003
2.021323242e+002;-2.150320681e-003
2.023351746e+002;-1.438490464e-003
2.025380554e+002;-2.043546177e-003
2.027409515e+002;-3.787530586e-003
2.029438477e+002;-1.118166838e-003
2.031467743e+002;-7.978431531e-004
2.033497162e+002;-1.545264968e-003
2.035526581e+002;-4.001079593e-003
2.037556305e+002;-1.189349801e-003
2.039586182e+002;-8.690261748e-004
2.041616211e+002;4.834514402e-004
2.043646393e+002;6.614089943e-004
2.045676727e+002;3.188406583e-003
2.047707214e+002;2.583350986e-003
2.049737854e+002;1.266464824e-003
2.051768646e+002;1.764746034e-003
2.053799591e+002;3.152815159e-003
2.055830688e+002;-2.114729257e-003
2.057861938e+002;1.275362592e-004
2.059893494e+002;-1.482979860e-005
2.061925049e+002;-2.399461344e-003
2.063956757e+002;-3.467206843e-003
2.065988770e+002;-1.865588594e-003
2.068020782e+002;-3.431615420e-003
2.070053101e+002;-2.995619143e-004
2.072085419e+002;-4.784092773e-003
2.074118042e+002;1.017324161e-003
2.076150665e+002;-2.043546177e-003
2.078183594e+002;2.476576250e-003
2.080216522e+002;-1.046983758e-003
2.082249756e+002;3.054938570e-004
2.084283142e+002;9.105495992e-004
2.086316681e+002;6.391643081e-003
2.088350220e+002;-4.072262440e-003
2.090384064e+002;4.469701089e-003
2.092418060e+002;2.440984827e-003
2.094452209e+002;7.672937587e-003
2.096486511e+002;-1.011392218e-003
2.098520966e+002;2.476576250e-003
2.100555573e+002;-1.402898924e-003
2.102590332e+002;1.551196910e-003
2.104625244e+002;-2.506235847e-003
2.106660309e+002;-2.292686841e-003
2.108695679e+002;-1.936771674e-003
2.110731049e+002;2.076171768e-005
2.112766571e+002;-3.751938930e-003
2.114802246e+002;-2.043546177e-003
2.116838226e+002;-4.072262440e-003
2.118874207e+002;1.444422407e-003
2.120910339e+002;-3.218066180e-003
2.122946777e+002;-1.046983758e-003
2.124983215e+002;-2.755376510e-003
2.127019958e+002;8.037750958e-004
2.129056702e+002;5.546344328e-004
2.131093750e+002;2.939266153e-003
2.133130951e+002;5.546344328e-004
2.135168152e+002;2.227435820e-003
2.137205658e+002;-1.367307384e-003
2.139243317e+002;5.902259727e-004
2.141280975e+002;1.275362592e-004
2.143318939e+002;1.373239327e-003
2.145357056e+002;-1.580856508e-003
2.147395325e+002;5.546344328e-004
2.149433746e+002;-1.571958564e-004
2.151472321e+002;5.546344328e-004
2.153511047e+002;-4.001079593e-003
2.155549927e+002;8.749581175e-004
2.157588959e+002;-5.282374099e-003
2.159628143e+002;-7.978431531e-004
2.161667480e+002;-2.577418927e-003
2.163706970e+002;2.013886580e-003
2.165746613e+002;1.622379990e-003
2.167786407e+002;2.334210323e-003
2.169826508e+002;-4.072262440e-003
2.171866608e+002;5.145939998e-003
2.173906860e+002;2.156252740e-003
2.175947266e+002;1.230873284e-003
2.177987976e+002;-5.131110083e-004
2.180028687e+002;-2.283788926e-004
2.182069702e+002;4.834514402e-004
2.184110718e+002;-1.509673428e-003
2.186152039e+002;-4.428177606e-003
2.188193359e+002;2.076171768e-005
2.190234985e+002;-1.723222551e-003
2.192276611e+002;-1.011392218e-003
2.194318542e+002;-1.794405631e-003
2.196360474e+002;-1.011392218e-003
2.198402710e+002;-4.214628600e-003
2.200445099e+002;7.325920160e-004
2.202487640e+002;-5.842940300e-004
2.204530182e+002;3.722279333e-003
2.206573029e+002;2.076171768e-005
2.208616028e+002;-2.283788926e-004
2.210659180e+002;3.766768787e-004
2.212702484e+002;2.405393403e-003
2.214745941e+002;2.076171768e-005
2.216789398e+002;-6.554771098e-004
2.218833160e+002;1.337647787e-003
2.220877075e+002;4.327335395e-003
2.222921143e+002;-1.936771674e-003
2.224965363e+002;1.124098664e-003
2.227009888e+002;4.834514402e-004
2.229054413e+002;-1.216043456e-004
2.231099091e+002;-3.573981347e-003
2.233143921e+002;-1.758814091e-003
2.235188904e+002;-2.257095417e-003
2.237234039e+002;-3.894305089e-003
2.239279480e+002;-2.257095417e-003
2.241324921e+002;2.512167906e-003
2.243370514e+002;4.122683895e-004
2.245416412e+002;1.444422407e-003
2.247462311e+002;-1.687631011e-003
2.249508362e+002;2.156252740e-003
2.251554718e+002;-2.790968167e-003
2.253601074e+002;2.868083073e-003
2.255647736e+002;-2.363869920e-003
2.257694397e+002;4.790024832e-003
2.259741364e+002;2.343108208e-004
2.261788330e+002;-1.901180134e-003
2.263835602e+002;-1.509673428e-003
2.265882874e+002;-1.189349801e-003
2.267930450e+002;-2.328278264e-003
2.269978180e+002;-2.292686841e-003
2.272025909e+002;-9.046177147e-004
2.274073944e+002;-4.819684662e-003
2.276122131e+002;7.681835559e-004
2.278170319e+002;1.052915701e-003
2.280218811e+002;-1.509673428e-003
2.282267456e+002;-1.972363098e-003
2.284316254e+002;-1.438490464e-003
2.286365204e+002;3.046040656e-003
2.288414154e+002;4.834514402e-004
2.290463409e+002;5.902259727e-004
2.292512817e+002;-2.470644424e-003
2.294562378e+002;1.586788450e-003
2.296612091e+002;1.835928997e-003
2.298661957e+002;3.900236916e-003
2.300711975e+002;2.699023171e-004
2.302762146e+002;3.410853678e-004
2.304812469e+002;-3.289249260e-003
2.306862946e+002;-2.185912337e-003
2.308913574e+002;-5.131110083e-004
2.310964355e+002;-2.328278264e-003
2.313015289e+002;-3.396023763e-003
2.315066528e+002;1.800337574e-003
2.317117767e+002;-1.082575298e-003
2.319169159e+002;-9.046177147e-004
2.321220703e+002;-2.719785087e-003
2.323272400e+002;-2.639704035e-004
2.325324402e+002;-9.758007363e-004
2.327376404e+002;4.122683895e-004
2.329428558e+002;-7.978431531e-004
2.331481018e+002;-1.545264968e-003
2.333533478e+002;-2.079137834e-003
2.335586090e+002;9.817326209e-004
2.337639008e+002;-1.224941341e-003
2.339691925e+002;1.088507241e-003
2.341745148e+002;-2.043546177e-003
2.343798370e+002;-2.283788926e-004
2.345851898e+002;1.195281744e-003
2.347905426e+002;-4.641727079e-003
2.349959259e+002;-2.790968167e-003
2.352013092e+002;-2.363869920e-003
2.354067230e+002;-4.392586183e-003
2.356121368e+002;-2.363869920e-003
2.358175812e+002;-1.571958564e-004
2.360230255e+002;-9.046177147e-004
2.362285004e+002;-2.577418927e-003
2.364339905e+002;-2.292686841e-003
2.366394806e+002;-2.079137834e-003
2.368450012e+002;-2.399461344e-003
2.370505371e+002;-1.571958564e-004
2.372560730e+002;7.325920160e-004
2.374616394e+002;2.263027243e-003
2.376672211e+002;4.122683895e-004
2.378728180e+002;-2.995619143e-004
2.380784149e+002;1.693562954e-003
2.382840424e+002;-2.292686841e-003
2.384896851e+002;1.907112077e-003
2.386953430e+002;-4.419279867e-004
2.389010162e+002;-2.328278264e-003
2.391066895e+002;-2.639704035e-004
2.393123932e+002;-1.936771674e-003
2.395181122e+002;-2.684193430e-003
2.397238464e+002;-2.363869920e-003
2.399295959e+002;-1.260532881e-003
2.401353607e+002;1.480013831e-003
2.403411407e+002;1.275362592e-004
2.405469360e+002;-5.487025483e-004
2.407527466e+002;-2.639704035e-004
2.409585724e+002;2.654533833e-003
2.411644135e+002;-2.995619143e-004
2.413702698e+002;8.037750958e-004
2.415761414e+002;6.258175126e-004
2.417820282e+002;3.010449000e-003
2.419879303e+002;-5.842940300e-004
2.421938477e+002;2.512167906e-003
2.423997803e+002;-1.865588594e-003
2.426057434e+002;-1.972363098e-003
2.428117065e+002;1.124098664e-003
2.430176849e+002;-2.007954754e-003
2.432236786e+002;-2.933334094e-003
2.434296875e+002;-2.470644424e-003
2.436357117e+002;-2.363869920e-003
2.438417511e+002;-3.289249260e-003
2.440478210e+002;-4.419279867e-004
2.442538910e+002;-9.402091964e-004
2.444599762e+002;-2.328278264e-003
